name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
demo_scores	0.5725938523557571	0.47451079197110946	0.5094482237339379	0.3353489543965734	0.34618291761148906	0.7163853195599228	0.6855631141345427	0.5142353237591333	0.4965986394557823
demo_scores_geometric	0.5029296875	0.4375	0.45833333333333337	0.1875	0.25	0.75	0.6666666666666667	0.4375	0.4375
demo_scores_real-life	0.59814453125	0.3541666666666667	0.5416666666666667	0.25	0.3125	0.75	0.6458333333333334	0.5	0.5625
demo_scores_in-class	0.5739685563016528	0.484504132231405	0.5005165289256199	0.34710743801652894	0.3569214876033058	0.7295110192837466	0.6916322314049587	0.5082644628099173	0.49896694214876025
demo_scores_out-class	0.5911027892561983	0.4820936639118457	0.5454545454545454	0.1900826446280992	0.23966942148760328	0.7134986225895317	0.7134986225895317	0.5950413223140496	0.48760330578512395
demo_scores_on-human	0.5447998046875	0.3958333333333333	0.5104166666666667	0.203125	0.296875	0.7604166666666666	0.6458333333333334	0.515625	0.453125
demo_scores_on-human_geometric	0.52734375	0.41666666666666663	0.5	0.25	0.25	0.75	0.5833333333333334	0.5	0.25
demo_scores_on-human_real-life	0.5625	0.3333333333333333	0.5	0.0	0.25	0.8333333333333333	0.5833333333333334	0.5	0.25
demo_scores_on-human_in-class	0.5703125	0.16666666666666666	0.5833333333333334	0.25	0.25	0.9166666666666667	0.9166666666666667	0.5	0.5
demo_scores_on-human_out-class	0.515625	0.4166666666666667	0.5	0.0	0.0	0.5833333333333333	0.6666666666666666	0.75	0.5
