name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
demo_scores	0.45833333333333276	0.36507936507936506	0.64021164021164	0.015873015873015872	0.06349206349206349	0.8677248677248677	0.6984126984126983	0.5396825396825397	0.47619047619047616
demo_scores_geometric	0.37499999999999994	0.3333333333333333	0.49999999999999994	0.0	0.0	1.0	0.6666666666666666	0.25	0.25
demo_scores_real-life	0.4375	0.25	0.5833333333333333	0.0	0.0	0.9166666666666666	0.7499999999999999	0.5	0.5
demo_scores_in-class	0.4611742424242429	0.34848484848484845	0.6515151515151514	0.022727272727272728	0.09090909090909091	0.8636363636363638	0.6666666666666669	0.5454545454545454	0.5
demo_scores_out-class	0.4848484848484849	0.4848484848484848	0.6666666666666666	0.0	0.0	0.818181818181818	0.8181818181818182	0.6363636363636364	0.45454545454545453
demo_scores_on-human	0.4166666666666667	0.25	0.5416666666666666	0.0	0.0	0.9166666666666666	0.75	0.625	0.25
demo_scores_on-human_geometric	0.375	0.3333333333333333	0.5	0.0	0.0	1.0	0.6666666666666666	0.5	0.0
demo_scores_on-human_real-life	0.35416666666666663	0.16666666666666666	0.5	0.0	0.0	1.0	0.6666666666666666	0.5	0.0
demo_scores_on-human_in-class	0.4583333333333333	0.16666666666666666	0.6666666666666666	0.0	0.0	1.0	0.8333333333333333	0.5	0.5
demo_scores_on-human_out-class	0.47916666666666663	0.3333333333333333	0.5	0.0	0.0	0.6666666666666666	0.8333333333333333	1.0	0.5
