name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
adept_demo_samples5_mask025	0.6693121693121691	0.5291005291005292	0.4338624338624338	0.9841269841269841	0.8412698412698413	0.7989417989417986	0.7989417989417987	0.5238095238095238	0.4444444444444444
adept_demo_samples5_mask025_geometric	0.6979166666666667	0.5833333333333333	0.6666666666666666	1.0	0.75	0.6666666666666666	0.6666666666666666	0.5	0.75
adept_demo_samples5_mask025_real-life	0.6979166666666666	0.41666666666666663	0.5833333333333333	1.0	1.0	0.6666666666666666	0.9166666666666666	0.5	0.5
adept_demo_samples5_mask025_in-class	0.6581439393939388	0.5151515151515151	0.3636363636363637	1.0	0.8181818181818182	0.8030303030303029	0.8106060606060606	0.5681818181818182	0.38636363636363635
adept_demo_samples5_mask025_out-class	0.693181818181818	0.6060606060606061	0.5757575757575757	0.9090909090909091	0.9090909090909091	0.8787878787878788	0.7575757575757575	0.36363636363636365	0.5454545454545454
adept_demo_samples5_mask025_on-human	0.7239583333333333	0.625	0.5	1.0	0.875	0.9166666666666666	0.6249999999999999	0.75	0.5
adept_demo_samples5_mask025_on-human_geometric	0.75	0.5	0.3333333333333333	1.0	1.0	0.8333333333333333	0.3333333333333333	1.0	1.0
adept_demo_samples5_mask025_on-human_real-life	0.7499999999999999	0.8333333333333333	0.5	1.0	1.0	0.8333333333333333	0.8333333333333333	0.5	0.5
adept_demo_samples5_mask025_on-human_in-class	0.5833333333333334	0.5	0.5	1.0	0.5	1.0	0.6666666666666666	0.5	0.0
adept_demo_samples5_mask025_on-human_out-class	0.8125	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	0.6666666666666666	1.0	0.5
