name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
adept_demo_samples9	0.5802213246409675	0.5132275132275133	0.48727639203829676	0.6573444192491812	0.6016628873771731	0.7855883093978331	0.7897875199462502	0.4764424288233812	0.4940791131267322
adept_demo_samples9_geometric	0.5732421875	0.5208333333333334	0.625	0.6875	0.8125	0.8125	0.7708333333333333	0.3125	0.5
adept_demo_samples9_real-life	0.6025390625	0.375	0.6041666666666667	0.6875	0.5625	0.8125	0.8333333333333334	0.5	0.375
adept_demo_samples9_in-class	0.576551200929752	0.5136019283746557	0.47985537190082644	0.6399793388429752	0.5909090909090909	0.7827134986225895	0.7995867768595041	0.4798553719008264	0.4896694214876034
adept_demo_samples9_out-class	0.5872288223140496	0.5426997245179064	0.3994490358126722	0.7272727272727273	0.6528925619834711	0.7520661157024793	0.7327823691460055	0.47107438016528924	0.5454545454545454
adept_demo_samples9_on-human	0.608154296875	0.453125	0.5677083333333333	0.625	0.75	0.828125	0.7499999999999999	0.53125	0.515625
adept_demo_samples9_on-human_geometric	0.56640625	0.6666666666666666	0.3333333333333333	0.75	0.75	0.9166666666666667	0.5	0.5	0.25
adept_demo_samples9_on-human_real-life	0.6171875	0.3333333333333333	0.6666666666666666	0.75	0.75	0.8333333333333333	0.8333333333333334	0.5	0.5
adept_demo_samples9_on-human_in-class	0.58203125	0.4166666666666667	0.3333333333333333	0.5	1.0	0.75	0.75	0.75	0.75
adept_demo_samples9_on-human_out-class	0.6640625	0.4166666666666667	0.8333333333333333	0.5	0.5	0.75	0.8333333333333334	0.25	0.75
